geoid,neighbor
060750263033,060750262011
060750263033,060750262012
060750263033,060750262022
060750263033,060750263031
060750263033,060750263032
060750262013,060750262012
060750262013,060750313023
060750262012,060750262011
060750262012,060750262013
060750262012,060750263033
060750262012,060750314011
060750262012,060750314012
060750262011,060750262012
060750262011,060750262021
060750262011,060750262022
060750262011,060750263033
060750262011,060750314011
060750314012,060750262012
060750314012,060750313023
060750314012,060750314011
060750262022,060750262011
060750262022,060750262021
060750262022,060750263032
060750262022,060750263033
060750262021,060750261002
060750262021,060750261003
060750262021,060750262011
060750262021,060750262022
060750262021,060750263012
060750262021,060750263032
060750262021,060750314011
060750314011,060750261003
060750314011,060750262011
060750314011,060750262012
060750314011,060750262021
060750314011,060750312022
060750314011,060750313023
060750314011,060750314012
060750314011,060750314021
060750314011,060750314022
060750314022,060750313021
060750314022,060750313023
060750314022,060750314011
060750314022,060750314021
060750314022,060750314023
060750314021,060750312021
060750314021,060750312022
060750314021,060750314011
060750314021,060750314022
060750314021,060750314023
060750313023,060750262013
060750313023,060750313021
060750313023,060750313022
060750313023,060750314011
060750313023,060750314012
060750313023,060750314022
060750313023,060750604002
060750313022,060750313012
060750313022,060750313021
060750313022,060750313023
060750313022,060750332031
060750332031,060750309007
060750332031,060750313022
060750332031,060750332032
060750332031,060750332041
060750332031,060750332043
060750332031,060750604002
060750313021,060750313012
060750313021,060750313013
060750313021,060750313022
060750313021,060750313023
060750313021,060750314022
060750313021,060750314023
060750332032,060750332031
060750332032,060750332041
060750332032,060750332042
060750332032,060750332043
060750313012,060750309007
060750313012,060750313011
060750313012,060750313013
060750313012,060750313021
060750313012,060750313022
060750332042,060750332032
060750332042,060750332041
060750332042,060750332043
060750332041,060750309007
060750332041,060750332011
060750332041,060750332031
060750332041,060750332032
060750332041,060750332042
060750332041,060750332043
060750313013,060750309003
060750313013,060750312014
060750313013,060750313011
060750313013,060750313012
060750313013,060750313021
060750313013,060750314023
060750313011,060750309003
060750313011,060750309004
060750313011,060750309007
060750313011,060750313012
060750313011,060750313013
060750314023,060750312014
060750314023,060750312021
060750314023,060750313013
060750314023,060750313021
060750314023,060750314021
060750314023,060750314022
060750261003,060750261002
060750261003,060750261004
060750261003,060750262021
060750261003,060750314011
060750312021,060750312011
060750312021,060750312014
060750312021,060750312022
060750312021,060750314021
060750312021,060750314023
060750312022,060750261004
060750312022,060750311003
060750312022,060750312011
060750312022,060750312021
060750312022,060750314011
060750312022,060750314021
060750312014,060750312011
060750312014,060750312013
060750312014,060750312021
060750312014,060750313013
060750312014,060750314023
060750312011,060750310002
060750312011,060750311003
060750312011,060750312012
060750312011,060750312014
060750312011,060750312021
060750312011,060750312022
060750312012,060750310002
060750312012,060750310003
060750312012,060750312011
060750312012,060750312013
060750312013,060750309003
060750312013,060750310003
060750312013,060750312012
060750312013,060750312014
060750311003,060750255012
060750311003,060750310002
060750311003,060750311002
060750311003,060750311004
060750311003,060750312011
060750311003,060750312022
060750310002,060750310001
060750310002,060750310003
060750310002,060750311003
060750310002,060750311004
060750310002,060750312011
060750310002,060750312012
060750332043,060750332011
060750332043,060750332031
060750332043,060750332032
060750332043,060750332041
060750332043,060750332042
060750332043,060750604002
060750309007,060750309004
060750309007,060750309006
060750309007,060750313011
060750309007,060750313012
060750309007,060750332011
060750309007,060750332031
060750309007,060750332041
060750309003,060750309002
060750309003,060750309004
060750309003,060750310003
060750309003,060750312013
060750309003,060750313011
060750309003,060750313013
060750332011,060750309006
060750332011,060750309007
060750332011,060750331001
060750332011,060750331002
060750332011,060750331004
060750332011,060750332041
060750332011,060750332043
060750332011,060750604002
060750309004,060750309002
060750309004,060750309003
060750309004,060750309005
060750309004,060750309006
060750309004,060750309007
060750309004,060750313011
060750309002,060750309001
060750309002,060750309003
060750309002,060750309004
060750309002,060750309005
060750309002,060750310003
060750309006,060750308004
060750309006,060750309004
060750309006,060750309005
060750309006,060750309007
060750309006,060750331001
060750309006,060750332011
060750309005,060750308003
060750309005,060750309001
060750309005,060750309002
060750309005,060750309004
060750309005,060750309006
060750331002,060750330011
060750331002,060750331001
060750331002,060750331004
060750331002,060750332011
060750331001,060750309006
060750331001,060750330011
060750331001,060750330023
060750331001,060750331002
060750331001,060750332011
060750604001,060750604002
060750604002,060750313023
060750604002,060750331003
060750604002,060750331004
060750604002,060750332011
060750604002,060750332031
060750604002,060750332043
060750604002,060750353004
060750604002,060750353005
060750604002,060750354001
060750604002,060750354005
060750604002,060750604001
060750604002,060759901000
060750331003,060750331004
060750331003,060750353004
060750331003,060750604002
060750331004,060750330011
060750331004,060750331002
060750331004,060750331003
060750331004,060750332011
060750331004,060750604002
060750353004,060750330011
060750353004,060750331003
060750353004,060750353003
060750353004,060750353005
060750353004,060750604002
060750330011,060750330013
060750330011,060750330023
060750330011,060750331001
060750330011,060750331002
060750330011,060750331004
060750330011,060750353003
060750330011,060750353004
060750354005,060750353005
060750354005,060750354001
060750354005,060750354003
060750354005,060750354004
060750354005,060750604002
060750330023,060750308004
060750330023,060750330011
060750330023,060750330013
060750330023,060750330022
060750330023,060750331001
060750353005,060750353002
060750353005,060750353003
060750353005,060750353004
060750353005,060750353006
060750353005,060750354004
060750353005,060750354005
060750353005,060750604002
060750310003,060750309002
060750310003,060750309003
060750310003,060750310001
060750310003,060750310002
060750310003,060750312012
060750310003,060750312013
060750311004,060750310002
060750311004,060750311002
060750311004,060750311003
060750311004,060750311005
060750310001,060750307003
060750310001,060750309001
060750310001,060750310002
060750310001,060750310003
060750310001,060750311005
060750311005,060750307002
060750311005,060750307003
060750311005,060750310001
060750311005,060750311001
060750311005,060750311002
060750311005,060750311004
060750309001,060750308002
060750309001,060750308003
060750309001,060750309002
060750309001,060750309005
060750309001,060750310001
060750307003,060750307001
060750307003,060750307002
060750307003,060750308002
060750307003,060750310001
060750307003,060750311005
060750308002,060750306002
060750308002,060750307001
060750308002,060750307003
060750308002,060750308001
060750308002,060750308003
060750308002,060750309001
060750307001,060750217001
060750307001,060750306002
060750307001,060750307002
060750307001,060750307003
060750307001,060750308002
060750308001,060750304001
060750308001,060750306002
060750308001,060750306003
060750308001,060750308002
060750308001,060750308003
060750308001,060750308004
060750308001,060750308005
060750306002,060750217001
060750306002,060750306001
060750306002,060750306003
060750306002,060750307001
060750306002,060750308001
060750306002,060750308002
060750353003,060750330011
060750353003,060750330013
060750353003,060750353002
060750353003,060750353004
060750353003,060750353005
060750330013,060750330011
060750330013,060750330012
060750330013,060750330022
060750330013,060750330023
060750330013,060750353003
060750354003,060750354001
060750354003,060750354004
060750354003,060750354005
060750354004,060750353005
060750354004,060750353006
060750354004,060750354002
060750354004,060750354003
060750354004,060750354005
060750330012,060750329014
060750330012,060750330013
060750330012,060750330021
060750330012,060750353002
060750353002,060750329014
060750353002,060750330012
060750353002,060750353001
060750353002,060750353003
060750353002,060750353005
060750353002,060750353006
060750354001,060750352012
060750354001,060750354002
