objectid,stopname,trapezestopabbr,stopid,latitude,longitude,atstreet,onstreet,shelter,insert_timestamp,sde_id,signupid,supervisor_district,shape,data_as_of,data_loaded_at,:@computed_region_qgnn_b9vv,:@computed_region_26cr_cadq,:@computed_region_ajp5_b2md,:@computed_region_jwn9_ihcz,:@computed_region_6qbp_sg9q,rucusstopabbr,position,orientation,serviceplanningstoptype,accessibilitymask,stop_lat,stop_lon,GEOID
79428,Clay St&Davis St SE-FS/BZ,CLAYDAV0,8154,37.795276,-122.397851,DRUMM ST,CLAY ST,0,1739804614000,16056736,148,3,"{'type': 'Point', 'coordinates': [-122.397851, 37.795276]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,6,3,8,108,108,,,,,,37.795276,-122.397851,060750105002
78388,Taraval St&19th Ave NE-NS/SI,TARA19A0,6616,37.74311,-122.475444,19TH AVE,TARAVAL ST,0,1739804614000,16051598,148,7,"{'type': 'Point', 'coordinates': [-122.475444, 37.74311]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,10,8,41,44,44,TARA19AV,NS,NE,,,37.74311,-122.475444,060750304005
76476,18th St&Diamond St SW-NS/BZ,18STDIA0,3329,37.760701999999995,-122.437294,DIAMOND ST,18TH ST,0,1739804614000,16045997,148,8,"{'type': 'Point', 'coordinates': [-122.437294, 37.760702]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,3,5,5,115,115,18STDIAM,NS,SW,BZ,,37.760701999999995,-122.437294,060750205002
78279,Union St&Gough St SW-NS/BZ,UNINGOU1,6757,37.79806,-122.427371,GOUGH ST,UNION ST,0,1739804614000,16051538,148,2,"{'type': 'Point', 'coordinates': [-122.427371, 37.79806]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,4,6,13,15,15,UNINGOUG,NS,SW,BZ,,37.79806,-122.427371,060750130012
77319,Louisburg St&Geneva Ave S-NS,LSBGGNV1,5291,37.72163,-122.44935,GENEVA AVE,LOUISBURG ST,0,1739804614000,16048488,148,11,"{'type': 'Point', 'coordinates': [-122.44935, 37.72163]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,10,1,24,81,81,LSBGGNVA,NS,SO,FL,,37.72163,-122.44935,060750312022
79192,Grafton Ave&Capitol Ave NE-NS/PS,GRAFCAP1,7194,37.720104,-122.45907199999999,CAPITOL AVE,GRAFTON AVE,0,1739804614000,16053923,148,11,"{'type': 'Point', 'coordinates': [-122.459072, 37.720104]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,10,1,24,64,64,,,NE,,,37.720104,-122.45907199999999,060750312011
76754,Clayton St&Parnassus Ave NW-NS/PS,CLTNPAR0,4082,37.765226,-122.447757,PARNASSUS AVE,CLAYTON ST,0,1739804614000,16046334,148,8,"{'type': 'Point', 'coordinates': [-122.447757, 37.765226]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,7,11,3,29,29,CLTNPARN,NS,NW,,,37.765226,-122.447757,060750171021
76440,Ashbury St&Piedmont St SE-NS/PS,ASHBPIE1,3664,37.765146,-122.445877,PIEDMONT ST,ASHBURY ST,0,1739804614000,16045903,148,8,"{'type': 'Point', 'coordinates': [-122.445877, 37.765146]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,7,5,3,112,112,ASHBPIED,NS,SE,,,37.765146,-122.445877,060750171012
77442,Newcomb Ave&La Salle Ave E-FS/PS,NEWCLSA0,5488,37.733044,-122.384858,LA SALLE AVE,NEWCOMB AVE,0,1739804614000,16048886,148,10,"{'type': 'Point', 'coordinates': [-122.384858, 37.733044]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,2,9,1,86,86,NEWCLSAL,FS,EA,,,37.733044,-122.384858,060750231021
78448,Transit Center Bay 27 S-MB/SI,TBAY B27,7918,37.789919999999995,-122.39615,,FREMONT ST,0,1739804614000,16056190,148,6,"{'type': 'Point', 'coordinates': [-122.39615, 37.78992]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,1,10,8,32,32,,,,,,37.789919999999995,-122.39615,060750615011
77845,Castro St&26TH St NW-NS/SB,CTR026S0,7290,37.748201,-122.433893,26TH ST,CASTRO ST,0,1739804614000,16055653,148,8,"{'type': 'Point', 'coordinates': [-122.433893, 37.748201]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,3,5,22,84,84,,,,,,37.748201,-122.433893,060750213001
77517,King St&2nd St S-NS,KING.2S0,5235,37.7796,-122.38955,02ND ST,KING ST,0,1739804614000,16049112,148,6,"{'type': 'Point', 'coordinates': [-122.38955, 37.7796]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,1,10,4,31,31,KING.2ST,NS,SO,,,37.7796,-122.38955,060750607013
77499,Mission St&Goethe St N-NS/BB,MISSGOE0,5594,37.70736,-122.45707999999999,GOETHE ST,MISSION ST,0,1739804614000,16049055,148,,"{'type': 'Point', 'coordinates': [-122.45708, 37.70736]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,,,,,,MISSGOET,NS,NO,BB,,37.70736,-122.45707999999999,00000000nan
77637,3rd St&Hudson/Innes Ave S-FS,3ST HDI1,7390,37.739934,-122.38893,INNES AVE,03RD ST,0,1739804614000,16049899,148,10,"{'type': 'Point', 'coordinates': [-122.38893, 37.739934]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,2,9,1,86,86,,,,,,37.739934,-122.38893,060750612001
76172,5th St&Folsom St N-FS/BZ,5STFOLS,7214,37.78044,-122.403466,FOLSOM ST,5TH ST,0,1739804614000,16045142,148,6,"{'type': 'Point', 'coordinates': [-122.403466, 37.78044]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,1,10,34,32,32,,,NO,,,37.78044,-122.403466,060750178011
77130,Judah St&7th Ave SW-NS/BZ,JUDA 7A1,5192,37.762201,-122.464144,7TH AVE,JUDAH ST,0,1739804614000,16047731,148,7,"{'type': 'Point', 'coordinates': [-122.464144, 37.762201]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,7,11,14,109,109,JUDA 7AV,NS,SW,BZ,,37.762201,-122.464144,060750302023
77208,Mansell St&Somerset St S-NS/PS,MANSSOM0,5351,37.720417999999995,-122.40509399999999,SOMERSET ST,MANSELL ST,0,1739804614000,16048019,148,9,"{'type': 'Point', 'coordinates': [-122.405094, 37.720418]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,2,9,25,75,75,MANSSOME,NS,SO,,,37.720417999999995,-122.40509399999999,060750259002
77535,Mission St&Sickles Ave W-FS/BZ,MISSSIC0,5619,37.70866,-122.45331999999999,SICKLES AVE,MISSION ST,0,1739804614000,16048973,148,11,"{'type': 'Point', 'coordinates': [-122.45332, 37.70866]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,9,1,28,66,66,MISSSICK,FS,WE,BZ,,37.70866,-122.45331999999999,060750262012
79337,Teresita Blvd&Reposa Way N-FS/SB,TERERPS1,6678,37.740975,-122.449223,REPOSA WAY,TERESITA BLVD,0,1739804614000,16055621,148,7,"{'type': 'Point', 'coordinates': [-122.449223, 37.740975]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,9,8,41,72,72,TERERPSA,FS,NO,,,37.740975,-122.449223,060750307001
78729,Hermann St&Fillmore St NE-NS/BZ,HERMFIL1,5017,37.770306999999995,-122.429929,FILLMORE ST,HERMANN ST,0,1739804614000,16053397,148,5,"{'type': 'Point', 'coordinates': [-122.429929, 37.770307]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,7,11,9,28,28,HERMFILL,NS,NE,BZ,,37.770306999999995,-122.429929,060750168012
77172,Hawes St&Gilman Ave S-NS/SB,HAWSGLM1,4976,37.719198,-122.390012,GILMAN AVE,HAWES ST,0,1739804614000,16047878,148,10,"{'type': 'Point', 'coordinates': [-122.390012, 37.719198]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,2,9,1,88,88,HAWSGLMN,NS,SO,,,37.719198,-122.390012,060750234002
77681,24th St&Diamond St SW-NS/BZ,24STDIA1,3465,37.751092,-122.436402,DIAMOND ST,24TH ST,0,1739804614000,16050150,148,8,"{'type': 'Point', 'coordinates': [-122.436402, 37.751092]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,3,5,22,84,84,24STDIAM,NS,SW,BZ,,37.751092,-122.436402,060750213001
76770,Bryant St&26TH St NW-NS/BZ,BRYT26S0,3750,37.74969,-122.40890999999999,26TH ST,BRYANT ST,0,1739804614000,16046372,148,9,"{'type': 'Point', 'coordinates': [-122.40891, 37.74969]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,3,2,20,53,53,BRYT26ST,NS,NW,BZ,,37.74969,-122.40890999999999,060750229022
76617,30th Ave&Santiago St SE-NS/PS,30AVSNT1,3531,37.74427,-122.48756,SANTIAGO ST,30TH AVE,0,1739804614000,16046093,148,4,"{'type': 'Point', 'coordinates': [-122.48756, 37.74427]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,10,7,35,40,40,30AVSNTG,NS,SE,FL,,37.74427,-122.48756,060750329014
78027,Right Of Way&20th St NE-FS/SB,ROW 20S1,6215,37.758229,-122.427795,20TH ST,MUNI RAIL - J RROW,0,1739804614000,16054361,148,8,"{'type': 'Point', 'coordinates': [-122.427795, 37.758229]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,3,5,5,37,37,ROW 20ST,NS,SE,,,37.758229,-122.427795,060750206011
79352,Persia Ave&Prague St W-NS/PS,PERSPRA0,5921,37.718934,-122.427348,PRAGUE ST,PERSIA AVE,0,1739804614000,16051009,148,11,"{'type': 'Point', 'coordinates': [-122.427348, 37.718934]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,9,1,7,90,90,PERSPRAG,NS,WE,FL,,37.718934,-122.427348,060750260032
78328,16th St& Wisconsin St SW-NS/SI,16STWIS0,7762,37.766197999999996,-122.399911,CAROLINA ST,16TH ST,0,1739804614000,16056342,148,10,"{'type': 'Point', 'coordinates': [-122.399911, 37.766198]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,1,9,4,54,54,,,,,,37.766197999999996,-122.399911,060750607021
77790,Hyde St&California St NW-NS/BZ,HYDECAL0,5065,37.791109999999996,-122.41747,CALIFORNIA ST,HYDE ST,0,1739804614000,16052577,148,3,"{'type': 'Point', 'coordinates': [-122.41747, 37.79111]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,6,3,21,16,16,HYDECALI,NS,NW,BZ,,37.791109999999996,-122.41747,060750111013
76896,Diamond Heights Blvd & Diamond St W,DHTSDIA0,4364,37.741696999999995,-122.435773,DIAMOND ST,DIAMOND HEIGHTS BLVD,0,1739804614000,16046731,148,8,"{'type': 'Point', 'coordinates': [-122.435773, 37.741697]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,9,5,10,57,57,DHTSDIAM,NS,WE,FL,,37.741696999999995,-122.435773,060750217001
76222,Balboa St&23RD Ave SW-NS/SB,BBOA23A1,3050,37.77633,-122.482417,23RD AVE,BALBOA ST,0,1739804614000,16044763,148,1,"{'type': 'Point', 'coordinates': [-122.482417, 37.77633]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,8,4,29,8,8,BBOA23AV,NS,SW,,,37.77633,-122.482417,060750477021
76426,Chestnut St&Fillmore St SW-NS/BZ,CHESFIL1,3942,37.800737999999996,-122.436371,FILLMORE ST,CHESTNUT ST,0,1739804614000,16045857,148,2,"{'type': 'Point', 'coordinates': [-122.436371, 37.800738]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,4,6,13,17,17,CHESFILL,NS,SW,BZ,,37.800737999999996,-122.436371,060750128021
76967,Castro St&24TH St SW-FS/BZ,CTRO24S0,4327,37.751315,-122.43411,24TH ST,CASTRO ST,0,1739804614000,16047383,148,8,"{'type': 'Point', 'coordinates': [-122.43411, 37.751315]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,3,5,22,84,84,CTRO24ST,FS,SW,BZ,,37.751315,-122.43411,060750212002
79296,SF General Hospital E-MB/BB,POTRSFGH,6119,37.755413,-122.406472,22ND ST,POTRERO AVE,0,1739804614000,16053977,148,10,"{'type': 'Point', 'coordinates': [-122.406472, 37.755413]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,3,9,20,54,54,POTRHOSP,MB,EA,BZ,,37.755413,-122.406472,060750228022
79222,9th Ave&Moraga St NW-NS/BZ,.9AVMOR0,3222,37.756676999999996,-122.465884,MORAGA ST,9TH AVE,0,1739804614000,16055505,148,7,"{'type': 'Point', 'coordinates': [-122.465884, 37.756677]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,10,8,14,44,44,9AVMORA,NS,NW,BZ,,37.756676999999996,-122.465884,060750303012
77371,Hayes St&Baker St SW-NS/BZ,HAYSBAK1,4980,37.774508999999995,-122.441259,BAKER ST,HAYES ST,0,1739804614000,16048249,148,5,"{'type': 'Point', 'coordinates': [-122.441259, 37.774509]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,7,11,18,24,24,HAYSBAKR,NS,SW,BZ,,37.774508999999995,-122.441259,060750165001
78634,Bacon St&Somerset St SW-NS,BACNSOM1,3021,37.72654,-122.40765999999999,SOMERSET ST,BACON ST,0,1739804614000,16053363,148,9,"{'type': 'Point', 'coordinates': [-122.40766, 37.72654]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,2,2,25,91,91,BACNSOME,NS,SW,FL,,37.72654,-122.40765999999999,060750257023
76951,The Embarcadero&Green St NE-FS/SI,EMBRGRE1,4517,37.801263999999996,-122.39936900000001,GREEN ST,THE EMBARCADERO,0,1739804614000,16047341,148,3,"{'type': 'Point', 'coordinates': [-122.399369, 37.801264]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,6,3,8,77,77,EMBRGREN,FS,NE,SI,,37.801263999999996,-122.39936900000001,060750105001
76435,46th Ave&Vicente St SE-NS/PS,46AVVCT1,3603,37.737973,-122.504268,VICENTE ST,46TH AVE,0,1739804614000,16045888,148,4,"{'type': 'Point', 'coordinates': [-122.504268, 37.737973]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,10,7,35,40,40,46AVVCTE,NS,SE,,,37.737973,-122.504268,060750354005
78752,Polk St&Pine St SW-FS/BB,POLKPIN0,5996,37.789359,-122.42053,PINE ST,POLK ST,0,1739804614000,16053477,148,3,"{'type': 'Point', 'coordinates': [-122.42053, 37.789359]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,4,3,21,50,50,POLKPINE,FS,SW,BB,,37.789359,-122.42053,060750111022
78474,Skyview Way&Cityview Way NW-NS/SB,SKVWCTV1,6427,37.748925,-122.45044899999999,CITYVIEW WAY,SKYVIEW WAY,0,1739804614000,16051696,148,7,"{'type': 'Point', 'coordinates': [-122.450449, 37.748925]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,7,8,38,48,48,SKVWCTVW,NS,NW,,,37.748925,-122.45044899999999,060750305002
78929,Powell St&California St NE-FS,POWLCAL0,6049,37.792300000000004,-122.409145,CALIFORNIA ST,POWELL ST,0,1739804614000,16053633,148,3,"{'type': 'Point', 'coordinates': [-122.409145, 37.7923]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,6,3,6,16,16,POWLCALI,FS,NE,,,37.792300000000004,-122.409145,060750113002
76575,5157 Diamond Heights Blvd N-MB/BZ,DHTS5151,4359,37.74693,-122.4402,SAFIRA LN,DIAMOND HEIGHTS BLVD,0,1739804614000,16046288,148,8,"{'type': 'Point', 'coordinates': [-122.4402, 37.74693]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,3,5,22,57,57,DHTS5157,MB,NO,BZ,,37.74693,-122.4402,060750216003
78169,Fulton St&30TH Ave NW-FS/BZ,FULT30AV,7728,37.772375,-122.48962399999999,30TH AVE,FULTON ST,0,1739804614000,16055982,148,1,"{'type': 'Point', 'coordinates': [-122.489624, 37.772375]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,8,4,29,8,8,,,,,,37.772375,-122.48962399999999,060750478011
