id,latitude,longitude
way/113631370,37.7733265,-122.440472
way/175286306,9.9405664,-84.0762484
way/257966109,9.9418809,-84.0760096
way/257966203,9.9426808,-84.0763133
way/264254812,37.7397849,-122.3778534
way/379538074,9.940372,-84.0774544
way/443243562,9.9422243,-84.0736088
way/536504535,37.746839,-122.4527959
way/545116247,9.9429447,-84.072928
way/600400269,8.9967607,-79.5148838
way/624928393,9.9403214,-84.0754688
node/635275099,37.806643,-122.430359
way/709358748,9.9398428,-84.0750566
way/1063713290,5.9652668,-75.1017511
way/1202855211,8.5077643,125.9743805
node/1450130174,37.817412,-122.3712223
node/1450168242,37.8230988,-122.372885
node/1450168490,37.8228361,-122.372745
node/1450168618,37.8217428,-122.371984
node/1450169174,37.8214801,-122.371801
node/1450169444,37.8212089,-122.37163
node/1450184169,37.8218191,-122.3691623
node/2069119594,37.7554145,-122.4211639
node/2391049836,8.5058409,125.9794494
node/2585226993,16.7954385,-89.943918
node/2585226994,16.8008016,-89.9344104
node/3009239585,37.7697867,-122.4197345
node/3345153622,37.8055689,-122.4283534
node/3454984694,10.6471259,124.3816221
node/3646668604,37.7494506,-122.4606599
node/3660306839,37.7819699,-122.418683
node/4064652129,8.5121606,125.9751611
node/4064668693,8.5047657,125.9808563
node/4199342630,37.7879302,-122.3914028
node/4199342685,37.7879634,-122.3914468
node/4425326589,-31.4319946,-62.0797907
node/4472547375,10.6043631,124.325125
node/4567931189,0.3544994,-78.1230786
node/4821608945,8.5085647,125.975315
node/5374070102,-31.431088,-62.0850639
node/5512004201,0.3514014,-78.1184905
node/5534419545,9.9436831,-84.0756694
node/5542926425,0.3521221,-78.1182351
node/5790113656,9.9411406,-84.0750499
node/6110440528,37.7803283,-122.4208286
node/6271896193,8.2451327,-80.9721531
node/6319824985,15.6710014,-87.0378002
node/6324579540,8.5136106,125.9064959
node/6668038774,9.9399941,-84.0752879
node/6668038775,9.9396966,-84.0751586
node/6668038776,9.9397142,-84.0747675
node/6668038777,9.9399354,-84.0747274
node/6668038778,9.9397549,-84.0754321
node/6698133972,8.5190449,125.9651622
node/6997406115,15.6711976,-87.0405337
node/7137548423,0.3481241,-78.1320903
node/7320760036,14.1140712,-88.3708876
node/7865658227,9.9429212,-84.0729989
node/8726594299,37.7914886,-122.4026644
node/9395351217,37.7987122,-122.4018193
node/9531261244,10.5983387,124.2766266
node/10276801614,37.7748407,-122.4187789
node/10805597225,37.7969141,-122.3949472
node/10897941846,37.7690707,-122.3899111
node/11166132554,37.7751887,-122.4018093
node/11166132565,37.7749475,-122.4035246
node/11195055071,14.3153717,120.9157017
node/11198865806,37.7782612,-122.4184895
node/11230365821,37.7707238,-122.421035
node/11240339635,37.7901597,-122.3953751
node/11308780126,14.0581004,121.3295037
node/11558519668,37.7713097,-122.4122395
node/11670007643,37.7745156,-122.4179924
node/11753488959,37.7962094,-122.401594
node/11981262304,10.0036382,-84.0654954
node/11981478452,9.9793485,-84.1178839
node/11992191698,9.9916034,-84.1405922
node/12518705287,37.7716382,-122.4240927
node/12542266087,37.7759459,-122.4042868
node/12865390893,37.8008972,-122.3963516
node/12887850557,8.507169,126.0094235
node/12887850558,8.5071507,126.0094251
