date,tavg,tmin,tmax,prcp,temp_range,is_rainy,is_hot_day
2020-11-25,13.6,8.3,18.3,0.0,10.0,0,0
2020-11-26,13.7,4.4,20.6,0.0,16.200000000000003,0,0
2020-11-27,12.7,5.0,18.3,0.0,13.3,0,0
2020-11-28,10.4,2.8,17.8,0.0,15.0,0,0
2020-11-29,10.1,2.8,17.8,0.0,15.0,0,0
2020-11-30,10.1,2.8,17.8,0.0,15.0,0,0
2020-12-01,10.6,4.4,17.8,0.0,13.4,0,0
2020-12-02,11.2,4.4,18.9,0.0,14.499999999999998,0,0
2020-12-03,11.7,5.6,18.9,0.0,13.299999999999999,0,0
2020-12-04,11.0,3.9,18.9,0.0,14.999999999999998,0,0
2020-12-05,11.0,4.4,17.8,0.0,13.4,0,0
2020-12-06,11.6,5.6,17.8,0.0,12.200000000000001,0,0
2020-12-07,15.4,3.9,26.1,0.0,22.200000000000003,0,1
2020-12-08,13.6,5.6,22.8,0.0,17.200000000000003,0,0
2020-12-09,12.7,5.0,21.7,0.0,16.7,0,0
2020-12-10,11.6,6.1,17.8,0.0,11.700000000000001,0,0
2020-12-11,11.2,6.7,13.9,5.8,7.2,1,0
2020-12-12,13.2,9.4,15.6,0.5,6.199999999999999,1,0
2020-12-13,13.0,9.4,15.6,14.2,6.199999999999999,1,0
2020-12-14,11.0,6.1,14.4,0.0,8.3,0,0
2020-12-15,10.5,6.1,15.0,0.0,8.9,0,0
2020-12-16,11.4,6.1,15.6,0.0,9.5,0,0
2020-12-17,13.4,10.6,16.1,11.9,5.500000000000002,1,0
2020-12-18,10.4,3.9,16.7,0.0,12.799999999999999,0,0
2020-12-19,10.0,2.8,17.2,0.0,14.399999999999999,0,0
2020-12-20,10.4,3.3,18.9,0.0,15.599999999999998,0,0
2020-12-21,9.4,2.8,16.1,0.0,13.3,0,0
2020-12-22,12.1,6.1,17.8,0.0,11.700000000000001,0,0
2020-12-23,11.6,3.9,18.3,0.0,14.4,0,0
2020-12-24,10.4,5.0,13.9,0.0,8.9,0,0
2020-12-25,12.4,7.2,16.7,2.5,9.5,1,0
2020-12-26,13.4,7.8,16.1,0.0,8.3,0,0
2020-12-27,11.2,6.7,17.2,0.0,10.5,0,0
2020-12-28,11.4,5.6,16.1,2.5,10.500000000000002,1,0
2020-12-29,9.2,3.9,15.6,0.0,11.7,0,0
2020-12-30,9.4,2.2,13.3,1.8,11.100000000000001,1,0
2020-12-31,12.0,6.7,16.7,1.5,10.0,1,0
2021-01-01,9.9,4.4,15.6,0.0,11.2,0,0
2021-01-02,11.8,10.6,13.9,3.6,3.3000000000000007,1,0
2021-01-03,11.4,9.4,13.3,0.0,3.9000000000000004,0,0
2021-01-04,13.2,7.8,16.7,9.1,8.899999999999999,1,0
2021-01-05,9.9,5.6,15.0,0.0,9.4,0,0
2021-01-06,10.0,4.4,15.0,0.8,10.6,1,0
2021-01-07,11.1,7.8,15.0,0.0,7.2,0,0
2021-01-08,12.0,8.9,16.1,0.0,7.200000000000001,0,0
2021-01-09,9.9,2.8,15.6,0.0,12.8,0,0
2021-01-10,11.0,5.0,16.7,0.0,11.7,0,0
2021-01-11,11.1,5.0,16.1,0.0,11.100000000000001,0,0
2021-01-12,12.4,8.3,16.7,0.0,8.399999999999999,0,0
2021-01-13,13.8,8.3,18.9,0.0,10.599999999999998,0,0
2021-01-14,13.8,8.3,21.7,0.0,13.399999999999999,0,0
2021-01-15,13.3,6.7,19.4,0.0,12.7,0,0
2021-01-16,14.0,7.8,21.7,0.0,13.899999999999999,0,0
2021-01-17,15.3,6.7,23.3,0.0,16.6,0,0
2021-01-18,19.2,10.6,28.3,0.0,17.700000000000003,0,1
2021-01-19,17.2,13.3,20.6,0.0,7.300000000000001,0,0
2021-01-20,13.3,6.1,20.0,0.0,13.9,0,0
2021-01-21,10.0,3.9,15.0,0.0,11.1,0,0
2021-01-22,11.3,7.2,13.9,2.0,6.7,1,0
2021-01-23,10.9,6.7,15.0,0.0,8.3,0,0
2021-01-24,10.6,6.1,13.3,2.5,7.200000000000001,1,0
2021-01-25,10.4,7.2,13.9,0.0,6.7,0,0
2021-01-26,7.6,1.1,12.2,9.9,11.1,1,0
2021-01-27,11.1,8.9,13.3,13.5,4.4,1,0
2021-01-28,11.5,9.4,13.9,13.5,4.5,1,0
2021-01-29,10.6,6.1,13.9,6.6,7.800000000000001,1,0
2021-01-30,11.7,7.8,15.6,0.0,7.8,0,0
2021-01-31,14.0,11.1,17.2,0.0,6.1,0,0
2021-02-01,13.6,7.2,19.4,17.0,12.2,1,0
2021-02-02,13.8,8.9,16.7,5.8,7.799999999999999,1,0
2021-02-03,11.0,5.0,15.6,0.0,10.6,0,0
2021-02-04,11.3,5.6,17.2,0.0,11.6,0,0
2021-02-05,11.4,4.4,19.4,0.0,14.999999999999998,0,0
2021-02-06,12.5,5.6,21.1,0.0,15.500000000000002,0,0
2021-02-07,12.4,5.6,20.6,0.0,15.000000000000002,0,0
2021-02-08,11.1,5.6,15.6,0.0,10.0,0,0
2021-02-09,13.2,10.6,15.6,0.0,5.0,0,0
2021-02-10,13.2,9.4,16.1,0.0,6.700000000000001,0,0
2021-02-11,12.3,8.9,15.6,11.9,6.699999999999999,1,0
2021-02-12,13.8,11.7,16.7,0.0,5.0,0,0
2021-02-13,14.3,11.1,17.2,0.3,6.1,1,0
2021-02-14,11.8,7.2,15.0,2.3,7.8,1,0
2021-02-15,13.8,12.2,16.1,6.1,3.900000000000002,1,0
2021-02-16,12.1,6.7,15.6,0.0,8.899999999999999,0,0
2021-02-17,12.4,5.0,20.0,0.0,15.0,0,0
2021-02-18,12.3,5.0,18.9,0.0,13.899999999999999,0,0
2021-02-19,13.4,11.1,15.6,0.8,4.5,1,0
2021-02-20,13.7,11.1,17.8,0.3,6.700000000000001,1,0
2021-02-21,13.1,6.7,18.9,0.0,12.2,0,0
2021-02-22,16.0,8.3,25.0,0.0,16.7,0,0
2021-02-23,15.8,8.3,28.9,0.0,20.599999999999998,0,1
2021-02-24,15.7,6.7,24.4,0.0,17.7,0,0
2021-02-25,14.2,7.2,19.4,0.0,12.2,0,0
2021-02-26,12.2,6.7,17.8,0.0,11.100000000000001,0,0
2021-02-27,12.9,7.8,18.3,0.0,10.5,0,0
2021-02-28,14.3,6.1,22.8,0.0,16.700000000000003,0,0
